symbol,arm64_file,arm64_line,commit_hash,commit_title,commit_url,patch_url,trace_status
AMPERE_ERRATUM_AC03_CPU_38,arch/arm64/Kconfig,454,6df696cd9bc1ceed0e92e36908f88bbd16d18255,arm64: errata: Mitigate Ampere1 erratum AC03_CPU_38 at stage-2,https://git.kernel.org/torvalds/c/6df696cd9bc1ceed0e92e36908f88bbd16d18255,https://git.kernel.org/torvalds/c/6df696cd9bc1ceed0e92e36908f88bbd16d18255.patch,ok
AMPERE_ERRATUM_AC04_CPU_23,arch/arm64/Kconfig,473,fed55f49fad181be9dfb93c06efc4ab2b71a72a9,arm64: errata: Work around AmpereOne's erratum AC04_CPU_23,https://git.kernel.org/torvalds/c/fed55f49fad181be9dfb93c06efc4ab2b71a72a9,https://git.kernel.org/torvalds/c/fed55f49fad181be9dfb93c06efc4ab2b71a72a9.patch,ok
ARCH_ACTIONS,arch/arm64/Kconfig.platforms,4,c88cc3ee1b2045ccff904f1187d62fdc3895a532,arm64: Prepare Actions Semi S900,https://git.kernel.org/torvalds/c/c88cc3ee1b2045ccff904f1187d62fdc3895a532,https://git.kernel.org/torvalds/c/c88cc3ee1b2045ccff904f1187d62fdc3895a532.patch,ok
ARCH_AIROHA,arch/arm64/Kconfig.platforms,11,428ae88ef519f2009fac37563de76ffa6f93046f,arm64: add Airoha EN7581 platform,https://git.kernel.org/torvalds/c/428ae88ef519f2009fac37563de76ffa6f93046f,https://git.kernel.org/torvalds/c/428ae88ef519f2009fac37563de76ffa6f93046f.patch,ok
ARCH_ALPINE,arch/arm64/Kconfig.platforms,29,e2f0abaf45bcdcf4408615d90a58730847304df7,arm64: add Alpine SoC family,https://git.kernel.org/torvalds/c/e2f0abaf45bcdcf4408615d90a58730847304df7,https://git.kernel.org/torvalds/c/e2f0abaf45bcdcf4408615d90a58730847304df7.patch,ok
ARCH_APPLE,arch/arm64/Kconfig.platforms,36,aea5f69f2e9181054fbcec56870be4143814c69b,arm64: Kconfig: Introduce CONFIG_ARCH_APPLE,https://git.kernel.org/torvalds/c/aea5f69f2e9181054fbcec56870be4143814c69b,https://git.kernel.org/torvalds/c/aea5f69f2e9181054fbcec56870be4143814c69b.patch,ok
ARCH_ARTPEC,arch/arm64/Kconfig.platforms,44,639f8e36baf1c7c6592ef267f696db981c62c2b6,arm64: dts: exynos: axis: Add initial ARTPEC-8 SoC support,https://git.kernel.org/torvalds/c/639f8e36baf1c7c6592ef267f696db981c62c2b6,https://git.kernel.org/torvalds/c/639f8e36baf1c7c6592ef267f696db981c62c2b6.patch,ok
ARCH_AXIADO,arch/arm64/Kconfig.platforms,51,729b770bb454b1adf59fdada6c901cd61c413ce6,arm64: add Axiado SoC family,https://git.kernel.org/torvalds/c/729b770bb454b1adf59fdada6c901cd61c413ce6,https://git.kernel.org/torvalds/c/729b770bb454b1adf59fdada6c901cd61c413ce6.patch,ok
ARCH_BCM2835,arch/arm64/Kconfig.platforms,62,628d30d1ccb897fee54a6f7312561cf2f6f72f09,arm64: Add platform selection for BCM2835.,https://git.kernel.org/torvalds/c/628d30d1ccb897fee54a6f7312561cf2f6f72f09,https://git.kernel.org/torvalds/c/628d30d1ccb897fee54a6f7312561cf2f6f72f09.patch,ok
ARCH_BCMBCA,arch/arm64/Kconfig.platforms,84,fdcd652ce2b6b819f5c4dc3cead5215c84ee6933,arm64: bcmbca: add arch bcmbca machine entry,https://git.kernel.org/torvalds/c/fdcd652ce2b6b819f5c4dc3cead5215c84ee6933,https://git.kernel.org/torvalds/c/fdcd652ce2b6b819f5c4dc3cead5215c84ee6933.patch,ok
