kind,tier,category,arch,state,date,n_patches,n_versions,series_name,web_url
noise,-,pull-request,arm,new,2025-01-02,1,1,"[GIT,PULL] arm64: dts: hisilicon dts updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/67767DCA.8060902@hisilicon.com/
noise,-,pull-request,generic,new,2025-01-02,1,1,"[GIT,PULL] pmdomain fixes for v6.13-rc6",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250102124753.50440-1-ulf.hansson@linaro.org/
noise,-,pull-request,generic,new,2025-01-02,1,1,"[GIT,PULL] firmware: arm_scmi: Updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250102154024.2168165-1-sudeep.holla@arm.com/
noise,-,pull-request,arm,new,2025-01-03,1,1,"[GIT,PULL] Qualcomm Arm64 DeviceTree fixes for v6.13",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250103024945.4649-1-andersson@kernel.org/
noise,-,pull-request,generic,new,2025-01-06,1,1,"[GIT,PULL] amlogic ARM DT updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/77c645b3-0cdf-49f4-84e9-11c74074b9a8@linaro.org/
noise,-,pull-request,arm,new,2025-01-06,1,1,"[GIT,PULL] amlogic ARM64 DT updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/72d71d3f-99c3-4767-8c80-8fa7a865c846@linaro.org/
noise,-,pull-request,generic,new,2025-01-06,1,1,"[GIT,PULL] Amlogic drivers updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/d22513cc-c326-443c-982b-78adf755d3dc@linaro.org/
noise,-,pull-request,generic,new,2025-01-06,1,1,"[GIT,PULL] Renesas DTS updates for v6.14 (take two)",https://patchwork.kernel.org/project/linux-arm-kernel/patch/cover.1736180859.git.geert+renesas@glider.be/
noise,-,pull-request,generic,new,2025-01-07,1,1,"[GIT,PULL] Microchip AT91 defconfig updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250107081424.758980-1-claudiu.beznea@tuxon.dev/
noise,-,pull-request,generic,new,2025-01-07,1,1,"[GIT,PULL] Microchip AT91 DT updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250107081424.758980-2-claudiu.beznea@tuxon.dev/
noise,-,pull-request,generic,new,2025-01-07,1,1,"[GIT,PULL] Microchip AT91 SoC updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250107081424.758980-3-claudiu.beznea@tuxon.dev/
noise,-,pull-request,arm,new,2025-01-07,1,1,"[GIT,PULL] ARM: dts: ti/omap/dra7: minor updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/7hmsg2b42q.fsf@baylibre.com/
noise,-,pull-request,generic,new,2025-01-07,1,1,"[GIT,PULL] soc: omap: minor updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/7hikqqb41a.fsf@baylibre.com/
noise,-,pull-request,generic,new,2025-01-07,1,1,"[GIT,PULL] arm/omap: drivers: updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/7hcygyb3yi.fsf@baylibre.com/
noise,-,pull-request,generic,new,2025-01-08,1,1,"[GIT,PULL] MediaTek ARM32 DTS updates for v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/ea93d0ea-a1a0-4d36-8880-4f05c85f0c1b@gmail.com/
noise,-,pull-request,generic,mainlined,2025-01-08,1,1,"[GIT,PULL] Allwinner device tree changes for 6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/Z36h2FwUxro8rouO@wens.tw/
noise,-,pull-request,generic,new,2025-01-09,1,1,"[GIT,PULL] Microchip AT91 DT updates fo v6.14 #2",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250109164317.1154613-1-claudiu.beznea@tuxon.dev/
noise,-,pull-request,generic,new,2025-01-09,1,1,"[GIT,PULL] coresight: Updates for Linux v6.14",https://patchwork.kernel.org/project/linux-arm-kernel/patch/20250109220732.2032306-1-suzuki.poulose@arm.com/
noise,-,pull-request,generic,new,2025-01-09,1,1,"[GIT,PULL] Rockchip dts fixes for 6.13",https://patchwork.kernel.org/project/linux-arm-kernel/patch/2914560.yaVYbkx8dN@diego/
